year,round,lap,driver_id,lap_time,gap_to_leader
2021,1,22,daniel_ricciardo,1:36.682,30.047
2021,1,22,lance_stroll,1:36.957,33.472
2021,1,22,carlos_sainz,1:36.516,35.992
2021,1,22,sergio_perez,1:35.633,37.340
2021,1,22,fernando_alonso,1:37.759,40.329
2021,1,22,kimi_raikkonen,1:37.571,40.752
2021,1,22,sebastian_vettel,1:40.754,42.855
2021,1,22,yuki_tsunoda,1:36.558,44.446
2021,1,22,esteban_ocon,1:37.317,46.115
2021,1,22,antonio_giovinazzi,1:37.442,49.394
2021,1,22,george_russell,1:37.683,51.873
2021,1,22,nicholas_latifi,1:37.618,59.753
2021,1,22,mick_schumacher,1:37.670,78.725
2021,1,22,pierre_gasly,1:36.475,84.124
2021,1,23,lewis_hamilton,1:35.219,0.0
2021,1,23,max_verstappen,1:35.122,3.767
2021,1,23,valtteri_bottas,1:35.092,7.614
2021,1,23,lando_norris,1:36.547,23.110
2021,1,23,charles_leclerc,1:36.195,25.817
2021,1,23,daniel_ricciardo,1:36.494,31.322
2021,1,23,lance_stroll,1:36.843,35.096
2021,1,23,carlos_sainz,1:36.236,37.009
2021,1,23,sergio_perez,1:35.807,37.928
2021,1,23,kimi_raikkonen,1:36.985,42.518
2021,1,23,fernando_alonso,1:38.377,43.487
2021,1,23,sebastian_vettel,1:38.631,46.267
2021,1,23,yuki_tsunoda,1:37.306,46.533
2021,1,23,esteban_ocon,1:37.362,48.258
2021,1,23,antonio_giovinazzi,1:36.936,51.111
2021,1,23,george_russell,1:37.412,54.066
2021,1,23,nicholas_latifi,1:37.320,61.854
2021,1,23,mick_schumacher,1:37.578,81.084
2021,1,23,pierre_gasly,1:36.421,85.326
2021,1,24,lewis_hamilton,1:35.087,0.0
2021,1,24,max_verstappen,1:35.207,3.887
2021,1,24,valtteri_bottas,1:35.193,7.720
2021,1,24,lando_norris,1:36.409,24.432
2021,1,24,charles_leclerc,1:36.338,27.068
2021,1,24,daniel_ricciardo,1:36.307,32.542
2021,1,24,lance_stroll,1:36.697,36.706
2021,1,24,carlos_sainz,1:36.279,38.201
2021,1,24,sergio_perez,1:35.964,38.805
2021,1,24,kimi_raikkonen,1:36.897,44.328
2021,1,24,fernando_alonso,1:37.604,46.004
2021,1,24,yuki_tsunoda,1:36.154,47.600
2021,1,24,esteban_ocon,1:37.422,50.593
2021,1,24,sebastian_vettel,1:41.508,PIT
2021,1,24,antonio_giovinazzi,1:37.236,53.260
2021,1,24,george_russell,1:37.197,56.176
2021,1,24,nicholas_latifi,1:38.097,64.864
2021,1,24,mick_schumacher,1:37.595,83.592
2021,1,24,pierre_gasly,1:36.519,86.758
2021,1,25,lewis_hamilton,1:35.359,0.0
2021,1,25,max_verstappen,1:35.044,3.572
2021,1,25,valtteri_bottas,1:35.022,7.383
2021,1,25,lando_norris,1:36.565,25.638
2021,1,25,charles_leclerc,1:36.428,28.137
2021,1,25,daniel_ricciardo,1:36.675,33.858
2021,1,25,lance_stroll,1:36.879,38.226
2021,1,25,sergio_perez,1:35.526,38.972
2021,1,25,carlos_sainz,1:37.598,40.440
2021,1,25,kimi_raikkonen,1:37.019,45.988
2021,1,25,fernando_alonso,1:37.596,48.241
2021,1,25,yuki_tsunoda,1:36.824,49.065
2021,1,25,esteban_ocon,1:36.904,52.138
2021,1,25,antonio_giovinazzi,1:36.899,54.800
2021,1,25,george_russell,1:37.238,58.055
2021,1,25,nicholas_latifi,1:37.694,67.199
2021,1,25,sebastian_vettel,1:56.594,73.923
2021,1,25,mick_schumacher,1:37.779,86.012
2021,1,25,pierre_gasly,1:36.472,87.871
2021,1,26,lewis_hamilton,1:35.622,0.0
2021,1,26,max_verstappen,1:34.958,2.908
2021,1,26,valtteri_bottas,1:35.308,7.069
2021,1,26,lando_norris,1:36.152,26.168
2021,1,26,charles_leclerc,1:36.406,28.921
2021,1,26,daniel_ricciardo,1:36.505,34.741
2021,1,26,lance_stroll,1:36.914,39.518
2021,1,26,sergio_perez,1:36.592,39.942
2021,1,26,carlos_sainz,1:36.686,41.504
2021,1,26,kimi_raikkonen,1:36.852,47.218
2021,1,26,yuki_tsunoda,1:36.195,49.638
2021,1,26,fernando_alonso,1:38.758,51.377
2021,1,26,esteban_ocon,1:37.316,53.832
2021,1,26,antonio_giovinazzi,1:36.918,56.096
2021,1,26,george_russell,1:37.378,59.811
2021,1,26,nicholas_latifi,1:38.179,69.756
2021,1,26,sebastian_vettel,1:35.566,73.867
2021,1,26,mick_schumacher,1:38.144,88.534
2021,1,26,pierre_gasly,1:36.890,89.139
2021,1,27,lewis_hamilton,1:35.940,0.0
2021,1,27,max_verstappen,1:35.118,2.086
2021,1,27,valtteri_bottas,1:35.469,6.598
2021,1,27,lando_norris,1:36.290,26.518
2021,1,27,charles_leclerc,1:36.616,29.597
2021,1,27,daniel_ricciardo,1:36.334,35.135
2021,1,27,sergio_perez,1:35.221,39.223
2021,1,27,lance_stroll,1:37.700,41.278
2021,1,27,carlos_sainz,1:36.574,42.138
2021,1,27,kimi_raikkonen,1:36.495,47.773
2021,1,27,yuki_tsunoda,1:36.657,50.355
2021,1,27,fernando_alonso,1:37.447,52.884
2021,1,27,esteban_ocon,1:37.104,54.996
2021,1,27,antonio_giovinazzi,1:37.210,57.366
2021,1,27,george_russell,1:37.711,61.582
2021,1,27,nicholas_latifi,1:38.149,71.965
2021,1,27,sebastian_vettel,1:36.045,73.972
2021,1,27,pierre_gasly,1:36.394,89.593
2021,1,27,mick_schumacher,1:38.957,91.551
2021,1,28,max_verstappen,1:35.126,0.0
2021,1,28,lewis_hamilton,1:37.835,PIT
2021,1,28,valtteri_bottas,1:35.376,4.762
2021,1,28,lando_norris,1:36.577,25.883
2021,1,28,charles_leclerc,1:36.555,28.940
2021,1,28,daniel_ricciardo,1:36.530,34.453
2021,1,28,sergio_perez,1:35.488,37.499
2021,1,28,carlos_sainz,1:36.842,41.768
2021,1,28,lance_stroll,1:39.588,PIT
2021,1,28,kimi_raikkonen,1:36.531,47.092
2021,1,28,yuki_tsunoda,1:36.870,50.013
2021,1,28,fernando_alonso,1:37.791,53.463
2021,1,28,esteban_ocon,1:37.206,54.990
2021,1,28,antonio_giovinazzi,1:36.940,57.094
2021,1,28,george_russell,1:37.001,61.371
2021,1,28,nicholas_latifi,1:37.802,72.555
2021,1,28,sebastian_vettel,1:36.341,73.101
2021,1,28,pierre_gasly,1:36.512,88.893
2021,1,28,mick_schumacher,1:37.677,92.016
2021,1,29,max_verstappen,1:35.282,0.0
2021,1,29,valtteri_bottas,1:35.915,5.395
2021,1,29,lewis_hamilton,1:55.194,20.535
2021,1,29,lando_norris,1:36.646,27.247
2021,1,29,charles_leclerc,1:37.096,30.754
2021,1,29,daniel_ricciardo,1:36.593,35.764
2021,1,29,sergio_perez,1:35.877,38.094
2021,1,29,carlos_sainz,1:36.020,42.506
2021,1,29,kimi_raikkonen,1:39.035,PIT
2021,1,29,yuki_tsunoda,1:36.844,51.575
2021,1,29,esteban_ocon,1:37.430,57.138
2021,1,29,fernando_alonso,1:40.108,PIT
2021,1,29,antonio_giovinazzi,1:36.987,58.799
2021,1,29,george_russell,1:37.666,63.755
2021,1,29,lance_stroll,1:57.513,65.885
2021,1,29,sebastian_vettel,1:36.434,74.253
2021,1,29,nicholas_latifi,1:39.666,76.939
